步骤,动作,x(m),y(m),频道,结果,示向度(deg),累计虚拟时间(s)
128,measure,-900.0,0.0,17,no_signal,,1506.049
129,measure,-900.0,0.0,18,no_signal,,1512.049
130,measure,-779.42,-450.0,1,direction,311.86,1611.224
131,measure,-779.42,-450.0,4,no_signal,,1617.224
132,measure,-779.42,-450.0,5,no_signal,,1623.224
133,measure,-779.42,-450.0,6,no_signal,,1629.224
134,measure,-779.42,-450.0,7,no_signal,,1635.224
135,measure,-779.42,-450.0,10,no_signal,,1641.224
136,measure,-779.42,-450.0,11,no_signal,,1647.224
137,measure,-779.42,-450.0,14,no_signal,,1653.224
138,measure,-779.42,-450.0,15,no_signal,,1659.224
139,measure,-779.42,-450.0,17,no_signal,,1665.224
140,measure,-779.42,-450.0,18,no_signal,,1671.224
141,measure,-450.0,-779.42,4,no_signal,,1770.399
142,measure,-450.0,-779.42,5,no_signal,,1776.399
143,measure,-450.0,-779.42,6,no_signal,,1782.399
144,measure,-450.0,-779.42,7,no_signal,,1788.399
145,measure,-450.0,-779.42,10,no_signal,,1794.399
146,measure,-450.0,-779.42,11,no_signal,,1800.399
147,measure,-450.0,-779.42,14,no_signal,,1806.399
148,measure,-450.0,-779.42,15,no_signal,,1812.399
149,measure,-450.0,-779.42,17,no_signal,,1818.399
150,measure,-450.0,-779.42,18,direction,197.77,1824.399
151,measure,-0.0,-900.0,4,no_signal,,1923.574
152,measure,-0.0,-900.0,5,no_signal,,1929.574
153,measure,-0.0,-900.0,6,no_signal,,1935.574
154,measure,-0.0,-900.0,7,no_signal,,1941.574
155,measure,-0.0,-900.0,10,no_signal,,1947.574
156,measure,-0.0,-900.0,11,no_signal,,1953.574
157,measure,-0.0,-900.0,14,no_signal,,1959.574
158,measure,-0.0,-900.0,15,no_signal,,1965.574
159,measure,-0.0,-900.0,17,no_signal,,1971.574
160,measure,-0.0,-900.0,18,direction,185.99,1977.574
161,measure,450.0,-779.42,4,no_signal,,2076.749
162,measure,450.0,-779.42,5,no_signal,,2082.749
163,measure,450.0,-779.42,6,no_signal,,2088.749
164,measure,450.0,-779.42,7,no_signal,,2094.749
165,measure,450.0,-779.42,10,no_signal,,2100.749
166,measure,450.0,-779.42,11,no_signal,,2106.749
167,measure,450.0,-779.42,14,no_signal,,2112.749
168,measure,450.0,-779.42,15,direction,19.64,2118.749
169,measure,450.0,-779.42,17,direction,29.53,2124.749
170,measure,450.0,-779.42,18,no_signal,,2130.749
171,measure,779.42,-450.0,4,no_signal,,2229.923
172,measure,779.42,-450.0,5,no_signal,,2235.923
173,measure,779.42,-450.0,6,no_signal,,2241.923
174,measure,779.42,-450.0,7,no_signal,,2247.923
175,measure,779.42,-450.0,10,no_signal,,2253.923
176,measure,779.42,-450.0,11,no_signal,,2259.923
177,measure,779.42,-450.0,14,no_signal,,2265.923
178,measure,779.42,-450.0,18,no_signal,,2271.923
179,measure,1750.0,0.0,4,no_signal,,2491.888
180,measure,1750.0,0.0,5,no_signal,,2497.888
181,measure,1750.0,0.0,6,no_signal,,2503.888
182,measure,1750.0,0.0,7,no_signal,,2509.888
183,measure,1750.0,0.0,10,no_signal,,2515.888
184,measure,1750.0,0.0,11,no_signal,,2521.888
185,measure,1750.0,0.0,14,no_signal,,2527.888
186,measure,1750.0,0.0,18,no_signal,,2533.888
187,measure,1515.54,875.0,4,no_signal,,2721.061
188,measure,1515.54,875.0,5,no_signal,,2727.061
189,measure,1515.54,875.0,6,no_signal,,2733.061
190,measure,1515.54,875.0,7,no_signal,,2739.061
191,measure,1515.54,875.0,10,no_signal,,2745.061
192,measure,1515.54,875.0,11,no_signal,,2751.061
193,measure,1515.54,875.0,14,no_signal,,2757.061
194,measure,1515.54,875.0,18,no_signal,,2763.061
195,measure,875.0,1515.54,4,no_signal,,2950.235
196,measure,875.0,1515.54,5,no_signal,,2956.235
197,measure,875.0,1515.54,6,no_signal,,2962.235
198,measure,875.0,1515.54,7,no_signal,,2968.235
199,measure,875.0,1515.54,10,no_signal,,2974.235
200,measure,875.0,1515.54,11,no_signal,,2980.235
201,measure,875.0,1515.54,14,no_signal,,2986.235
202,measure,875.0,1515.54,18,no_signal,,2992.235
203,measure,0.0,1750.0,4,no_signal,,3179.408
204,measure,0.0,1750.0,5,no_signal,,3185.408
205,measure,0.0,1750.0,6,no_signal,,3191.408
206,measure,0.0,1750.0,7,no_signal,,3197.408
207,measure,0.0,1750.0,10,no_signal,,3203.408
208,measure,0.0,1750.0,11,no_signal,,3209.408
209,measure,0.0,1750.0,14,no_signal,,3215.408
210,measure,0.0,1750.0,18,no_signal,,3221.408
211,measure,-875.0,1515.54,4,no_signal,,3408.581
212,measure,-875.0,1515.54,5,no_signal,,3414.581
213,measure,-875.0,1515.54,6,no_signal,,3420.581
214,measure,-875.0,1515.54,7,no_signal,,3426.581
215,measure,-875.0,1515.54,10,no_signal,,3432.581
216,measure,-875.0,1515.54,11,no_signal,,3438.581
217,measure,-875.0,1515.54,14,no_signal,,3444.581
218,measure,-875.0,1515.54,18,no_signal,,3450.581
219,measure,-1515.54,875.0,4,no_signal,,3637.755
220,measure,-1515.54,875.0,5,no_signal,,3643.755
221,measure,-1515.54,875.0,6,no_signal,,3649.755
222,measure,-1515.54,875.0,7,no_signal,,3655.755
223,measure,-1515.54,875.0,10,no_signal,,3661.755
224,measure,-1515.54,875.0,11,no_signal,,3667.755
225,measure,-1515.54,875.0,14,no_signal,,3673.755
226,measure,-1515.54,875.0,18,no_signal,,3679.755
227,measure,-1750.0,0.0,4,no_signal,,3866.928
228,measure,-1750.0,0.0,5,no_signal,,3872.928
229,measure,-1750.0,0.0,6,no_signal,,3878.928
230,measure,-1750.0,0.0,7,no_signal,,3884.928
231,measure,-1750.0,0.0,10,no_signal,,3890.928
232,measure,-1750.0,0.0,11,no_signal,,3896.928
233,measure,-1750.0,0.0,14,direction,301.35,3902.928
234,measure,-1750.0,0.0,18,no_signal,,3908.928
235,measure,-1515.54,-875.0,4,no_signal,,4096.101
236,measure,-1515.54,-875.0,5,no_signal,,4102.101
237,measure,-1515.54,-875.0,6,no_signal,,4108.101
238,measure,-1515.54,-875.0,7,no_signal,,4114.101
239,measure,-1515.54,-875.0,10,no_signal,,4120.101
240,measure,-1515.54,-875.0,11,no_signal,,4126.101
241,measure,-1515.54,-875.0,18,no_signal,,4132.101
242,measure,-875.0,-1515.54,4,no_signal,,4319.275
243,measure,-875.0,-1515.54,5,no_signal,,4325.275
244,measure,-875.0,-1515.54,6,no_signal,,4331.275
245,measure,-875.0,-1515.54,7,no_signal,,4337.275
246,measure,-875.0,-1515.54,10,no_signal,,4343.275
247,measure,-875.0,-1515.54,11,no_signal,,4349.275
248,measure,-875.0,-1515.54,18,direction,118.51,4355.275
249,measure,-0.0,-1750.0,4,no_signal,,4542.448
250,measure,-0.0,-1750.0,5,no_signal,,4548.448
251,measure,-0.0,-1750.0,6,no_signal,,4554.448
252,measure,-0.0,-1750.0,7,no_signal,,4560.448
253,measure,-0.0,-1750.0,10,no_signal,,4566.448
254,measure,-0.0,-1750.0,11,no_signal,,4572.448
255,measure,875.0,-1515.54,4,no_signal,,4759.621
256,measure,875.0,-1515.54,5,no_signal,,4765.621
257,measure,875.0,-1515.54,6,no_signal,,4771.621
258,measure,875.0,-1515.54,7,no_signal,,4777.621
259,measure,875.0,-1515.54,10,no_signal,,4783.621
260,measure,875.0,-1515.54,11,no_signal,,4789.621
261,measure,1515.54,-875.0,4,no_signal,,4976.795
262,measure,1515.54,-875.0,5,no_signal,,4982.795
263,measure,1515.54,-875.0,6,no_signal,,4988.795
264,measure,1515.54,-875.0,7,no_signal,,4994.795
265,measure,1515.54,-875.0,10,no_signal,,5000.795
266,measure,1515.54,-875.0,11,no_signal,,5006.795
267,measure,2600.0,0.0,4,no_signal,,5291.482
268,measure,2600.0,0.0,5,no_signal,,5297.482
269,measure,2600.0,0.0,6,no_signal,,5303.482
270,measure,2600.0,0.0,7,no_signal,,5309.482
271,measure,2600.0,0.0,10,no_signal,,5315.482
272,measure,2600.0,0.0,11,no_signal,,5321.482
273,measure,2511.41,672.93,4,no_signal,,5463.229
274,measure,2511.41,672.93,5,no_signal,,5469.229
275,measure,2511.41,672.93,6,no_signal,,5475.229
276,measure,2511.41,672.93,7,no_signal,,5481.229
277,measure,2511.41,672.93,10,no_signal,,5487.229
278,measure,2511.41,672.93,11,no_signal,,5493.229
279,measure,2251.67,1300.0,4,no_signal,,5634.977
280,measure,2251.67,1300.0,5,no_signal,,5640.977
281,measure,2251.67,1300.0,6,no_signal,,5646.977
282,measure,2251.67,1300.0,7,no_signal,,5652.977
283,measure,2251.67,1300.0,10,no_signal,,5658.977
284,measure,2251.67,1300.0,11,no_signal,,5664.977
285,measure,1838.48,1838.48,4,no_signal,,5806.724
286,measure,1838.48,1838.48,5,no_signal,,5812.724
287,measure,1838.48,1838.48,6,no_signal,,5818.724
288,measure,1838.48,1838.48,7,no_signal,,5824.724
289,measure,1838.48,1838.48,10,no_signal,,5830.724
290,measure,1838.48,1838.48,11,no_signal,,5836.724
291,measure,1300.0,2251.67,4,no_signal,,5978.471
292,measure,1300.0,2251.67,5,no_signal,,5984.471
293,measure,1300.0,2251.67,6,no_signal,,5990.471
294,measure,1300.0,2251.67,7,no_signal,,5996.471
295,measure,1300.0,2251.67,10,no_signal,,6002.471
296,measure,1300.0,2251.67,11,no_signal,,6008.471
297,measure,672.93,2511.41,4,no_signal,,6150.218
298,measure,672.93,2511.41,5,no_signal,,6156.218
299,measure,672.93,2511.41,6,no_signal,,6162.218
300,measure,672.93,2511.41,7,no_signal,,6168.218
301,measure,672.93,2511.41,10,no_signal,,6174.218
302,measure,672.93,2511.41,11,no_signal,,6180.218
303,measure,0.0,2600.0,4,no_signal,,6321.966
304,measure,0.0,2600.0,5,no_signal,,6327.966
305,measure,0.0,2600.0,6,no_signal,,6333.966
306,measure,0.0,2600.0,7,no_signal,,6339.966
307,measure,0.0,2600.0,10,no_signal,,6345.966
308,measure,0.0,2600.0,11,no_signal,,6351.966
309,measure,-672.93,2511.41,4,no_signal,,6493.713
310,measure,-672.93,2511.41,5,no_signal,,6499.713
311,measure,-672.93,2511.41,6,no_signal,,6505.713
312,measure,-672.93,2511.41,7,no_signal,,6511.713
313,measure,-672.93,2511.41,10,no_signal,,6517.713
314,measure,-672.93,2511.41,11,no_signal,,6523.713
315,measure,-1300.0,2251.67,4,no_signal,,6665.46
316,measure,-1300.0,2251.67,5,no_signal,,6671.46
317,measure,-1300.0,2251.67,6,no_signal,,6677.46
318,measure,-1300.0,2251.67,7,no_signal,,6683.46
319,measure,-1300.0,2251.67,10,no_signal,,6689.46
320,measure,-1300.0,2251.67,11,no_signal,,6695.46
321,measure,-1838.48,1838.48,4,no_signal,,6837.207
322,measure,-1838.48,1838.48,5,no_signal,,6843.207
323,measure,-1838.48,1838.48,6,no_signal,,6849.207
324,measure,-1838.48,1838.48,7,no_signal,,6855.207
325,measure,-1838.48,1838.48,10,no_signal,,6861.207
326,measure,-1838.48,1838.48,11,no_signal,,6867.207
327,measure,-2251.67,1300.0,4,no_signal,,7008.955
328,measure,-2251.67,1300.0,5,no_signal,,7014.955
329,measure,-2251.67,1300.0,6,no_signal,,7020.955
330,measure,-2251.67,1300.0,7,no_signal,,7026.955
331,measure,-2251.67,1300.0,10,no_signal,,7032.955
332,measure,-2251.67,1300.0,11,no_signal,,7038.955
333,measure,-2511.41,672.93,4,no_signal,,7180.702
334,measure,-2511.41,672.93,5,no_signal,,7186.702
335,measure,-2511.41,672.93,6,no_signal,,7192.702
336,measure,-2511.41,672.93,7,no_signal,,7198.702
337,measure,-2511.41,672.93,10,no_signal,,7204.702
338,measure,-2511.41,672.93,11,no_signal,,7210.702
339,measure,-2600.0,0.0,4,no_signal,,7352.449
340,measure,-2600.0,0.0,5,no_signal,,7358.449
341,measure,-2600.0,0.0,6,no_signal,,7364.449
342,measure,-2600.0,0.0,7,no_signal,,7370.449
343,measure,-2600.0,0.0,10,no_signal,,7376.449
344,measure,-2600.0,0.0,11,no_signal,,7382.449
345,measure,-2511.41,-672.93,4,no_signal,,7524.196
346,measure,-2511.41,-672.93,5,no_signal,,7530.196
347,measure,-2511.41,-672.93,6,no_signal,,7536.196
348,measure,-2511.41,-672.93,7,no_signal,,7542.196
349,measure,-2511.41,-672.93,10,no_signal,,7548.196
350,measure,-2511.41,-672.93,11,no_signal,,7554.196
351,measure,-2251.67,-1300.0,4,no_signal,,7695.943
352,measure,-2251.67,-1300.0,5,no_signal,,7701.943
353,measure,-2251.67,-1300.0,6,no_signal,,7707.943
354,measure,-2251.67,-1300.0,7,no_signal,,7713.943
355,measure,-2251.67,-1300.0,10,no_signal,,7719.943
356,measure,-2251.67,-1300.0,11,no_signal,,7725.943
357,measure,-1838.48,-1838.48,4,no_signal,,7867.691
358,measure,-1838.48,-1838.48,5,no_signal,,7873.691
359,measure,-1838.48,-1838.48,6,no_signal,,7879.691
360,measure,-1838.48,-1838.48,7,no_signal,,7885.691
361,measure,-1838.48,-1838.48,10,no_signal,,7891.691
362,measure,-1838.48,-1838.48,11,no_signal,,7897.691
363,measure,-1300.0,-2251.67,4,no_signal,,8039.438
364,measure,-1300.0,-2251.67,5,no_signal,,8045.438
365,measure,-1300.0,-2251.67,6,no_signal,,8051.438
366,measure,-1300.0,-2251.67,7,no_signal,,8057.438
367,measure,-1300.0,-2251.67,10,no_signal,,8063.438
368,measure,-1300.0,-2251.67,11,no_signal,,8069.438
369,measure,-672.93,-2511.41,4,no_signal,,8211.185
370,measure,-672.93,-2511.41,5,no_signal,,8217.185
371,measure,-672.93,-2511.41,6,no_signal,,8223.185
372,measure,-672.93,-2511.41,7,no_signal,,8229.185
373,measure,-672.93,-2511.41,10,no_signal,,8235.185
374,measure,-672.93,-2511.41,11,no_signal,,8241.185
375,measure,-0.0,-2600.0,4,no_signal,,8382.932
376,measure,-0.0,-2600.0,5,no_signal,,8388.932
377,measure,-0.0,-2600.0,6,no_signal,,8394.932
378,measure,-0.0,-2600.0,7,no_signal,,8400.932
379,measure,-0.0,-2600.0,10,no_signal,,8406.932
380,measure,-0.0,-2600.0,11,no_signal,,8412.932
381,measure,672.93,-2511.41,4,no_signal,,8554.68
382,measure,672.93,-2511.41,5,no_signal,,8560.68
383,measure,672.93,-2511.41,6,no_signal,,8566.68
384,measure,672.93,-2511.41,7,no_signal,,8572.68
385,measure,672.93,-2511.41,10,no_signal,,8578.68
386,measure,672.93,-2511.41,11,no_signal,,8584.68
387,measure,1300.0,-2251.67,4,no_signal,,8726.427
388,measure,1300.0,-2251.67,5,no_signal,,8732.427
389,measure,1300.0,-2251.67,6,no_signal,,8738.427
390,measure,1300.0,-2251.67,7,no_signal,,8744.427
391,measure,1300.0,-2251.67,10,no_signal,,8750.427
392,measure,1300.0,-2251.67,11,no_signal,,8756.427
393,measure,1838.48,-1838.48,4,no_signal,,8898.174
394,measure,1838.48,-1838.48,5,no_signal,,8904.174
395,measure,1838.48,-1838.48,6,no_signal,,8910.174
396,measure,1838.48,-1838.48,7,no_signal,,8916.174
397,measure,1838.48,-1838.48,10,no_signal,,8922.174
398,measure,1838.48,-1838.48,11,no_signal,,8928.174
399,measure,2251.67,-1300.0,4,no_signal,,9069.921
400,measure,2251.67,-1300.0,5,no_signal,,9075.921
401,measure,2251.67,-1300.0,6,no_signal,,9081.921
402,measure,2251.67,-1300.0,7,no_signal,,9087.921
403,measure,2251.67,-1300.0,10,no_signal,,9093.921
404,measure,2251.67,-1300.0,11,no_signal,,9099.921
405,measure,2511.41,-672.93,4,no_signal,,9241.669
406,measure,2511.41,-672.93,5,no_signal,,9247.669
407,measure,2511.41,-672.93,6,no_signal,,9253.669
408,measure,2511.41,-672.93,7,no_signal,,9259.669
409,measure,2511.41,-672.93,10,no_signal,,9265.669
410,measure,2511.41,-672.93,11,no_signal,,9271.669
411,clear,1373.44,-451.19,15,success,,9508.542
412,clear,1394.13,-241.66,17,success,,9555.652
413,clear,1286.66,53.09,8,success,,9623.398
414,clear,522.16,349.03,20,success,,9792.355
415,clear,881.71,834.12,16,success,,9918.117
416,clear,11.78,1240.88,13,success,,10115.183
417,clear,-30.38,1714.02,19,success,,10215.186
418,clear,-477.91,886.46,12,no_target_in_range,,10406.35
419,measure,-477.91,886.46,12,direction,322.75,10412.35
420,clear,-465.97,877.38,12,success,,10420.35
421,clear,-351.18,-120.85,2,success,,10626.311
422,clear,-468.57,-726.52,9,no_target_in_range,,10752.701
423,measure,-468.57,-726.52,9,direction,256.07,10758.701
424,clear,-472.18,-741.08,9,success,,10766.701
425,clear,-108.09,-1199.27,1,success,,10888.748
426,clear,-1150.39,-1012.22,18,success,,11105.538
427,clear,-1271.73,-785.8,14,success,,11161.915
428,clear,-969.6,-86.36,3,success,,11319.296
429,measure,0.0,0.0,4,no_signal,,11519.984
430,measure,0.0,0.0,5,no_signal,,11525.984
431,measure,0.0,0.0,6,no_signal,,11531.984
432,measure,0.0,0.0,7,no_signal,,11537.984
433,measure,0.0,0.0,10,no_signal,,11543.984
434,measure,0.0,0.0,11,no_signal,,11549.984
